year;time;time2;gdp_world;gdp_world_five;gdp_world_ten;gdp_hi;gdp_hi_five;gdp_hi_ten;gdp_oecd;gdp_oecd_five;gdp_oecd_ten;gdp_us;gdp_us_three;gdp_us_five;gdp_us_ten;gdp_eu;gdp_eu_five;gdp_eu_ten;em_world;em_world_five;em_world_ten;em_hi;em_hi_five;em_hi_ten;em_oecd;em_oecd_five;em_oecd_ten;em_us;em_us_three;em_us_five;em_us_ten;em_eu;em_eu_five;em_eu_ten;app_count;app_tot;app_old_three;app_new_three;app_old_five;app_new_five;app_old_ten;app_new_ten;app_count_us;app_tot_us;app_five_new_us;app_old_five_us;app_count_eu;app__tot_eu;app_old_five_eu;app_new_five_eu;AZ;new_app_count_us;new_app_tot_us;new_app_five_new_us;new_app_five_old_us;oil_price;oil_price_five;dum_1;dum_2;dum_3;dum_4;em_c_us;em_c_us_four;em_c_us_five;em_c_world;em_c_world_four;em_c_world_five;BQ;BR;BS;BT;BU;BV;BW;BX;BY;BZ;CA;CB;CC;CD;CE;CF;CG;CH;CI;CJ;CK;CL;CM;CN;CO;CP;CQ;CR;CS;CT;CU;CV;CW;CX;CY;CZ;DA;DB;DC;DD;DE;DF;DG;DH;DI;DJ;DK;DL;DM;DN;DO;DP;DQ;DR;DS;dum;spline;spline2;app_old_four;app_new_four;gdp_us_four;oil_price_four;em_world_four;gdp_world_four;every_fifth
1964;5;25;1.81E+12;7.79E+12;;1.43E+12;6.13E+12;;1.43E+12;6.16E+12;;6.86E+11;1.93E+12;3.04E+12;;5.28E+11;2.20E+12;;10947007;49952703;;6782010.5;30896659;;6791496.3;30998942;;3255995.3;9362434.1;15133636;;2879590.4;13036048;;37;62;19;43;0;62;;;485;4471;2300;0;;;;;;358;2410;1453;0;1.8;9.1;;;;;3255995.3;12242940;15133636;10947007;40555997;49952703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;25;9;53;2.49E+12;7.2;4.06E+07;6.42E+12;1
1969;10;100;2.71E+12;1.16E+13;1.93E+13;2.18E+12;9.23E+12;1.54E+13;2.19E+12;9.27E+12;1.54E+13;1.02E+12;2.82E+12;4.38E+12;6.60E+12;7.75E+11;3.35E+12;5.54E+12;13797117;62646885;1.13E+08;8656315.6;38982185;69878844;8625282.6;38958064;69957006;4024748.9;11551813;18504613;33638249;3520600.7;16016368;29052416;11;166;109;57;78;104;0;166;454;7022;2551;4471;;;;;;598;5366;2956;2410;1.8;9;;;;;4024748.9;15113691;18504613;13797117;51213443;62646885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;100;78;88;3.64E+12;7.2;5.12E+07;9.58E+12;1
1974;15;225;5.32E+12;2.00E+13;3.15E+13;4.20E+12;1.60E+13;2.52E+13;4.17E+12;1.60E+13;2.53E+13;1.55E+12;4.25E+12;6.49E+12;9.71E+12;1.67E+12;6.15E+12;9.50E+12;16850822;79742098;1.42E+08;10363788;50074170;89056355;10269004;49659632;88617696;4598487.7;13933636;22619310;41123924;4142868.6;19946443;35962811;40;330;232;98;179;164;62;268;784;9762;2740;7022;;;;;;547;7922;2556;5366;11.58;21.39;;;;;4598487.7;18290406;22619310;16850822;64953300;79742098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15;225;179;151;5.41E+12;19.59;6.50E+07;1.70E+13;1
1979;20;400;9.99E+12;3.83E+13;5.82E+13;8.01E+12;3.05E+13;4.65E+13;7.93E+12;3.03E+13;4.63E+13;2.63E+12;7.06E+12;1.06E+13;1.52E+13;3.41E+12;1.24E+13;1.86E+13;19533548;90783149;1.71E+08;11379640;53867571;1.04E+08;11263393;53359042;1.03E+08;4901796.2;14534950;23554380;46173691;4647643.8;21818000;41764442;602;1615;517;1098;401;1285;166;1449;1424;16180;6418;9762;373;636;;;;965;12425;4503;7922;31.61;83.88;;1;;;4901796.2;19148051;23554380;19533548;74037357;90783149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;20;400;401;1214;8.93E+12;72.35;7.40E+07;3.23E+13;1
1984;25;625;1.22E+13;5.84E+13;9.66E+13;9.69E+12;4.60E+13;7.65E+13;9.54E+12;4.53E+13;7.55E+13;4.04E+12;1.10E+13;1.71E+13;2.45E+13;3.09E+12;1.70E+13;2.94E+13;19145865;94243150;1.85E+08;10541260;52929840;1.07E+08;10447948;52498904;1.06E+08;4475192.1;13123819;22382829;45937209;4084428.7;21152704;42970704;1303;7527;3820;3707;2558;5912;330;7197;1046;21673;5493;16180;510;3151;636;2515;;1078;18460;6035;12425;28.78;164.06;;;;;4475192.1;17659619;22382829;19145865;74918823;94243150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;25;625;2558;4969;1.42E+13;127.23;7.49E+07;4.71E+13;1
1989;30;900;2.01E+13;8.46E+13;1.43E+14;1.69E+13;6.98E+13;1.16E+14;1.67E+13;6.89E+13;1.14E+14;5.64E+12;1.57E+13;2.47E+13;3.72E+13;6.16E+12;2.52E+13;4.21E+13;22029385;1.04E+08;1.99E+08;11688025;55429573;1.08E+08;11585933;54852616;1.07E+08;4955081.4;14535981;23523999;45906828;4323273.8;21154346;42307050;1404;14137;10253;3884;9007;6610;1615;12522;1062;26487;4814;21673;631;5818;3151;2667;;1041;23786;5326;18460;18.226113;93.574994;;;;;4955081.4;19031444;23523999;22029385;84727296;1.04E+08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;30;900;9007;5130;2.03E+13;66.01499;8.47E+07;7.17E+13;1
1994;35;1225;2.78E+13;1.26E+14;2.10E+14;2.33E+13;1.06E+14;1.75E+14;2.31E+13;1.05E+14;1.74E+14;7.29E+12;2.07E+13;3.28E+13;5.13E+13;8.31E+12;4.03E+13;6.55E+13;22551691;1.12E+08;2.16E+08;12053970;58721326;1.14E+08;11733861;57514065;1.12E+08;5094354.1;15032562;24676812;48200812;3884988.5;20031449;41185795;1718;22849;17510;5339;15881;8712;7527;15322;1557;33418;6931;26487;782;9322;5818;3504;;1278;29173;5387;23786;15.817626;95.836832;;;;;5094354.1;19853409;24676812;22551691;89301212;1.12E+08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;15881;6968;2.68E+13;72.11102;8.93E+07;1.03E+14;1
1999;40;1600;3.25E+13;1.58E+14;2.84E+14;2.71E+13;1.30E+14;2.36E+14;2.68E+13;1.29E+14;2.33E+14;9.63E+12;2.73E+13;4.30E+13;6.77E+13;9.60E+12;4.80E+13;8.83E+13;24059187;1.19E+08;2.30E+08;12745739;62483074;1.21E+08;12497077;61325504;1.19E+08;5504669.4;16274395;26659427;51336240;3896092.2;19831671;39863121;3160;34942;26905;8037;24908;12093;14137;20805;3062;45017;11599;33418;1739;15686;9322;6364;;1681;36454;7281;29173;17.970078;87.463495;;;;;5504669.4;21526507;26659427;24059187;95719943;1.19E+08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;24908;10034;3.53E+13;70.44682;9.57E+07;1.27E+14;1
2004;45;2025;4.38E+13;1.84E+14;3.42E+14;3.55E+13;1.51E+14;2.81E+14;3.53E+13;1.50E+14;2.79E+14;1.22E+13;3.46E+13;5.54E+13;8.78E+13;1.38E+13;5.36E+13;1.02E+14;28393581;1.31E+08;2.50E+08;13637165;66551281;1.29E+08;13184743;64655965;1.26E+08;5756075.2;17073086;28362566;55021993;4056134.7;19986917;39818589;5591;58989;43412;15577;38907;24047;22849;36140;6491;71846;26829;45017;2901;28092;15686;12406;;5204;56156;19702;36454;38.265;145.0583;;;;;5756075.2;22668881;28362566;28393581;1.06E+08;1.31E+08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;38907;20082;4.52E+13;116.5629;1.06E+08;1.51E+14;1
2009;50;2500;6.03E+13;2.81E+14;4.65E+14;4.33E+13;2.10E+14;3.61E+14;4.27E+13;2.08E+14;3.58E+14;1.45E+13;4.36E+13;7.05E+13;1.12E+14;1.71E+13;8.39E+13;1.38E+14;31891899;1.55E+08;2.86E+08;12871105;67539120;1.34E+08;12269947;65019232;1.30E+08;5263505.5;16666647;28153660;56516226;3601566.1;19631794;39618712;10804;101332;72619;28713;65631;42343;34942;66390;13248;122055;50209;71846;7164;53731;28092;25639;;9588;90856;34700;56156;61.671265;350.98147;;;;;5263505.5;22363933;28153660;31891899;1.26E+08;1.55E+08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;65631;35701;5.74E+13;296.4604;1.26E+08;2.33E+14;1
2014;55;3025;7.93E+13;3.71E+14;6.52E+14;5.07E+13;2.44E+14;4.54E+14;4.96E+13;2.39E+14;4.47E+14;1.75E+13;5.05E+13;8.10E+13;1.36E+14;1.87E+13;8.95E+13;1.74E+14;36138285;1.76E+08;3.31E+08;12939717;65268129;1.33E+08;12151111;61832114;1.27E+08;5254279.3;15532877;26218089;54371749;3241844.4;17435338;37067132;7413;159206;127256;31950;114099;57874;58989;100217;2991;172065;50010;122055;;;;;;13249;156516;65660;90856;98.946008;510.02536;;;;;5225412.7;20747820;26143352;36138285;1.42E+08;1.76E+08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;114099;45107;6.60E+13;430.5298;1.42E+08;3.05E+14;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1
